observation_date,jobs,labor_force
2014-03-01,150036.00000,156028
2014-04-01,150233.00000,155369
2014-05-01,150572.00000,155684
2014-06-01,151229.00000,155707
2014-07-01,151245.00000,156007
2014-08-01,151879.00000,156130
2014-09-01,151692.00000,156040
2014-10-01,152439.00000,156417
2014-11-01,152247.00000,156494
2014-12-01,152745.00000,156332
2015-01-01,153489.00000,157030
2015-02-01,153511.00000,156644
2015-03-01,153338.00000,156643
2015-04-01,154109.00000,157060
2015-05-01,154380.00000,157651
2015-06-01,154064.00000,157062
2015-07-01,154886.00000,156997
2015-08-01,154648.00000,157172
2015-09-01,154314.00000,156733
2015-10-01,155019.00000,157167
2015-11-01,155171.00000,157463
2015-12-01,155973.00000,158035
2016-01-01,156665.00000,158280
2016-02-01,156709.00000,158640
2016-03-01,157347.00000,159179
2016-04-01,156877.00000,159141
2016-05-01,156909.00000,158784
2016-06-01,156965.00000,158967
2016-07-01,157516.00000,159194
2016-08-01,157456.00000,159562
2016-09-01,157629.00000,159714
2016-10-01,157384.00000,159605
2016-11-01,157925.00000,159506
2016-12-01,158121.00000,159678
2017-01-01,157769.00000,159620
2017-02-01,158403.00000,159859
2017-03-01,158876.00000,160137
2017-04-01,159346.00000,160345
2017-05-01,158895.00000,160068
2017-06-01,159623.00000,160192
2017-07-01,159807.00000,160462
2017-08-01,159779.00000,160586
2017-09-01,160606.00000,161140
2017-10-01,160017.00000,160309
2017-11-01,160076.00000,160579
2017-12-01,160240.00000,160535
2018-01-01,161046.00000,160914
2018-02-01,161749.00000,161778
2018-03-01,162032.00000,161686
2018-04-01,162189.00000,161771
2018-05-01,162668.00000,161848
2018-06-01,162992.00000,162210
2018-07-01,163336.00000,162341
2018-08-01,162712.00000,161660
2018-09-01,163426.00000,162087
2018-10-01,163695.00000,162602
2018-11-01,164315.00000,162836
2018-12-01,164306.00000,163206
2019-01-01,163989.00000,162963
2019-02-01,163929.00000,162999
2019-03-01,164018.00000,162904
2019-04-01,163897.00000,162586
2019-05-01,164096.00000,162751
2019-06-01,164426.00000,163168
2019-07-01,164571.00000,163590
2019-08-01,165007.00000,163774
2019-09-01,165463.00000,164092
2019-10-01,165834.00000,164416
2019-11-01,165517.00000,164496
2019-12-01,165544.00000,164699
2020-01-01,165656.00000,164328
2020-02-01,165657.00000,164412
2020-03-01,161295.00000,162581
2020-04-01,137822.00000,156276
2020-05-01,142726.00000,158066
2020-06-01,148501.00000,160003
2020-07-01,150278.00000,160178
2020-08-01,153630.00000,160759
2020-09-01,154179.00000,160247
2020-10-01,156787.00000,160961
2020-11-01,156771.00000,160627
2020-12-01,156747.00000,160761
2021-01-01,157002.00000,160014
2021-02-01,157958.00000,160133
2021-03-01,159179.00000,160395
2021-04-01,160365.00000,160884
2021-05-01,161392.00000,160737
2021-06-01,162064.00000,161294
2021-07-01,163780.00000,161558
2021-08-01,164154.00000,161558
2021-09-01,164784.00000,161568
2021-10-01,165869.00000,161748
2021-11-01,166686.00000,162241
2021-12-01,167635.00000,162429
2022-01-01,168309.00000,163615
2022-02-01,169228.00000,163807
2022-03-01,170401.00000,164212
2022-04-01,169661.00000,163922
2022-05-01,169787.00000,164280
2022-06-01,169320.00000,164100
2022-07-01,169819.00000,164065
2022-08-01,168877.00000,164741
2022-09-01,169678.00000,164649
2022-10-01,169255.00000,164679
2022-11-01,169187.00000,164441
2022-12-01,170300.00000,164998
2023-01-01,170577.00000,165871
2023-02-01,170150.00000,166263
