Year,T,TM,Tm,PP,V,RA,SN,TS,FG,TN,GR,Airport
1936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PDX
1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PDX
1938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PDX
1939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PDX
1940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PDX
1941,12.6,18.3,8.6,NA,11.6,176,5,12,80,0,0,PDX
1942,11.7,17.6,7.7,NA,10.3,207,8,9,128,0,0,PDX
1943,11.5,17.7,7.1,NA,13.7,167,10,9,89,0,1,PDX
1944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PDX
1948,10.9,16,7.4,NA,12.6,204,19,8,100,0,4,PDX
1949,10.9,16.6,6.7,NA,10.1,170,33,6,130,0,2,PDX
1950,10.8,16.1,6.9,NA,11.3,211,35,7,110,0,2,PDX
1951,11.3,17,7.1,NA,10.4,163,27,7,120,0,2,PDX
1952,11.4,17.5,7,NA,10.2,159,26,2,120,0,1,PDX
1953,11.8,16.9,8.1,NA,11.2,216,6,8,134,0,2,PDX
1954,10.8,15.9,7,NA,12.6,184,15,5,117,0,0,PDX
1955,10.1,15.2,6.4,NA,12.8,194,24,3,113,0,1,PDX
1956,10.8,16.2,7,NA,13.7,184,23,4,119,0,1,PDX
1957,11.2,16.7,7.1,NA,13.8,180,18,4,118,0,0,PDX
1958,12.9,18.7,8.5,NA,13.3,188,2,5,103,0,0,PDX
1959,11.5,16.8,7.7,NA,12.9,200,6,1,115,0,0,PDX
1960,11.1,16.6,7.1,NA,13.4,190,12,4,127,0,1,PDX
1961,12.1,17.7,8.1,NA,13.9,196,8,5,124,0,2,PDX
1962,11.6,17,7.5,NA,12.9,184,12,1,143,0,0,PDX
1963,11,16.2,7.4,NA,13.6,206,5,6,147,0,0,PDX
1964,10,15.7,6,NA,13.5,210,14,1,135,0,1,PDX
1973,12,18.1,7.1,NA,12.3,199,6,6,100,0,1,PDX
1974,12,18.4,6.6,NA,13.6,185,11,8,100,0,2,PDX
1975,11.4,17.5,6.3,NA,14.3,206,21,4,111,0,1,PDX
1976,11.3,17.7,5.8,NA,12.3,183,5,3,155,0,1,PDX
1977,11.4,17.7,5.8,1038.36,14,196,12,2,123,0,0,PDX
1978,11.3,17.4,5.8,762.78,13,197,10,9,141,0,0,PDX
1979,12.2,18.4,7,883.68,14.3,181,15,6,120,0,0,PDX
1980,11.7,17.9,6.5,1068.61,13,188,11,6,135,0,0,PDX
1981,12.4,18.7,7,864.41,14.3,197,3,17,143,0,0,PDX
1982,11.9,18,6.5,1145.3,13.8,186,12,9,83,0,0,PDX
1983,12.4,17.9,7.5,1245.62,13.1,213,7,7,111,0,0,PDX
1984,12,17.8,7,987.28,12.7,208,9,4,117,0,1,PDX
1985,11,17.4,5.4,596.9,12.6,153,14,9,101,0,0,PDX
1986,12.3,18.7,6.8,898.94,12.1,188,13,4,115,0,0,PDX
1987,12.7,19.5,6.8,788.17,12.4,153,11,2,105,0,0,PDX
1988,12.1,18.5,6.6,837.17,12.4,187,7,10,120,0,1,PDX
1989,11.7,18,6.5,810.58,13,182,15,11,113,0,0,PDX
1990,12.3,18.5,7,851.38,13,196,17,7,108,0,0,PDX
1991,12.2,18.6,6.6,876.24,12.1,182,11,6,114,0,3,PDX
1992,13.2,19.8,7.5,768.01,12.9,172,8,9,101,0,0,PDX
1993,11.5,17.9,6.2,823.93,13.2,175,20,16,120,0,0,PDX
1994,12.5,19,6.9,1025.87,13.1,180,20,2,93,0,1,PDX
1995,12.8,19,7.5,1109.95,14.1,183,10,10,97,0,3,PDX
1996,11.9,17.4,7.6,1541.05,12.5,184,10,1,87,0,1,PDX
1997,12.5,17.7,8.6,1178.29,12.1,173,1,10,34,0,2,PDX
1998,12.6,18,8.6,1191.5,12.2,195,5,7,25,0,1,PDX
1999,12,17.8,7.5,NA,12.7,186,1,9,22,0,1,PDX
2000,11.8,17.8,6.8,NA,12.2,178,5,2,36,0,0,PDX
2001,11.9,18.1,6.8,NA,13.1,165,4,2,35,0,0,PDX
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PDX
2003,12.9,19.1,7.8,1017.26,12.4,180,8,10,19,0,2,PDX
2004,12.8,18.8,8,723.83,11.3,184,6,11,33,0,0,PDX
2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PDX
2006,12.5,18.7,7.8,1032.96,12.8,174,9,4,18,0,1,PDX
2007,11.9,18,7.3,799.44,10.5,181,17,6,28,0,1,PDX
2008,11.7,17.8,7,669.9,10.8,180,22,5,32,0,0,PDX
2009,12.2,18.6,7.2,799.04,10.8,172,16,11,36,0,1,PDX
2010,12,17.7,7.5,1226.03,11.7,184,5,5,18,0,0,PDX
2011,11.4,17.1,6.9,941.66,9.9,132,6,1,23,0,0,PDX
2012,12.3,18.2,7.6,1293.12,10.9,162,10,3,10,0,0,PDX
2013,12,18,7.2,623.71,9,172,7,2,38,1,0,PDX
2014,13.1,19.3,8.1,1009.03,12.3,170,9,10,33,0,0,PDX
2015,13.8,20.5,8.3,1008.13,10.7,153,4,6,36,0,1,PDX
2016,13.3,19.5,8.5,1102.75,11.8,189,8,3,20,0,2,PDX
2017,12.1,18.3,7,1160.25,12.4,177,13,11,22,0,1,PDX
2018,13.3,19.8,8.1,698.99,11,163,9,8,27,0,0,PDX
2019,12.4,18.5,7.5,660.09,10.9,171,13,5,28,0,0,PDX
2020,13,19.3,7.9,813.26,10.9,177,5,3,41,0,1,PDX
2021,13.4,19.7,8.2,890.95,11.1,168,14,2,22,0,0,PDX
2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PDX
1944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LAX
1973,16.2,21.1,12.6,NA,12,76,0,3,90,0,0,LAX
1974,16.5,21.6,12.5,NA,11.6,56,1,5,84,0,1,LAX
1975,15.9,21.3,12,NA,11.2,57,1,9,88,0,1,LAX
1976,17.3,22.9,13,NA,13.2,50,1,7,79,0,0,LAX
1977,16.9,22.2,12.9,529.15,11.7,50,0,6,83,0,1,LAX
1978,17,22.3,13.1,629.63,11.5,69,1,8,74,0,0,LAX
1979,16.8,22.3,12.6,345.98,12.4,56,2,3,60,0,2,LAX
1980,16.9,22.2,12.9,692.68,12.4,54,0,5,93,0,1,LAX
1981,17.5,22.8,13.7,316.22,12.2,53,0,5,86,1,2,LAX
1982,16.8,21.9,12.8,608.58,12.7,72,0,6,59,0,1,LAX
1983,17.3,21.9,13.4,1018.03,12.9,100,0,11,87,0,2,LAX
1984,17.6,22.7,13.5,249.7,13.1,43,0,3,58,0,0,LAX
1985,16.5,21.6,12.6,258.07,12.5,48,0,3,90,0,0,LAX
1986,17.1,22.5,12.9,418.35,12.6,46,0,3,143,0,1,LAX
1987,16.6,21.7,12.5,201.39,12.9,64,0,6,140,0,0,LAX
1988,16.7,22,12.6,256.53,13.2,42,0,5,122,0,0,LAX
1989,16.8,22.3,12.6,146.8,12.3,40,0,1,137,0,0,LAX
1990,17.1,22.6,12.9,147.06,13.3,35,0,5,95,0,2,LAX
1991,16.4,21.6,12.6,306.85,11.6,53,0,6,138,0,1,LAX
1992,17.8,22.8,13.8,436.84,12.7,66,0,8,120,0,0,LAX
1993,17.3,22.5,13.3,532.1,13.4,53,0,9,133,0,0,LAX
1994,17,22.5,12.8,269.49,11.8,44,0,3,110,0,0,LAX
1995,16.8,21.9,13,610.1,10.9,59,0,6,193,0,0,LAX
1996,17.4,22.2,13.5,429.48,13,54,0,4,115,0,0,LAX
1997,17.9,22.2,14.4,340.09,12.8,43,1,4,12,0,0,LAX
1998,16.6,20.8,12.9,654.26,12.6,71,0,4,16,0,0,LAX
1999,16.6,21.3,13.1,NA,12,36,0,3,28,0,0,LAX
2000,16.9,21.6,13.1,280.07,12.9,38,0,1,28,0,0,LAX
2001,16.2,20.7,12.6,430.2,13.5,51,0,2,45,0,0,LAX
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LAX
2003,17,21.9,13.1,197.57,11.9,43,0,1,23,0,0,LAX
2004,17,22,13.1,340.32,12.1,43,0,1,23,0,0,LAX
2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LAX
2006,17.2,22.3,13.4,262.84,11.9,56,0,2,36,0,0,LAX
2007,16.7,21.4,13.2,143.24,11,40,0,2,20,0,0,LAX
2008,17.2,22.1,13.6,310.13,11.1,41,0,2,63,0,0,LAX
2009,16.7,21.6,13.1,191.53,10.8,38,0,1,61,0,0,LAX
2010,16.3,20.9,12.8,586.99,11.5,55,0,6,36,0,0,LAX
2011,16.3,21,12.5,275.81,10.9,27,0,1,25,0,0,LAX
2012,17.1,21.9,13.6,232.38,11,33,0,2,68,0,0,LAX
2013,17.2,22.2,13.4,106.17,10.8,31,0,1,129,0,0,LAX
2014,18.5,23.3,14.7,237.49,11.2,26,0,1,118,0,0,LAX
2015,18.3,23.4,14.2,153.14,11.4,46,0,4,36,0,0,LAX
2016,17.9,22.8,14,231.88,12,42,0,3,36,0,0,LAX
2017,17.9,23.1,14,320.51,12.1,45,0,2,46,0,0,LAX
2018,18,23,14.2,208.79,12,37,0,2,44,0,0,LAX
2019,17.4,22.3,13.5,462.49,12.3,58,0,6,27,0,0,LAX
2020,17.7,23.1,13.7,224.52,11.4,33,0,2,60,0,0,LAX
2021,16.6,21.7,12.9,316.21,11.8,40,0,4,37,0,0,LAX
2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LAX
